"조회기간 : 2020.01 ~ 2020.12, 여객 : 전체, 화물 : 전체, 운항 : 전체, 노선 : 전체, 공항 : 인천(ICN), 상대공항 : 전체, 출발/도착 : 출발",,,,
노선1,노선2,운항(편),여객(명),화물(톤)
인천(ICN),쉬지아쭈앙(석가장)(SJW),14,"1,587",28
인천(ICN),첸나이(MAA),21,"1,306",360
인천(ICN),야쿠츠크(YKS),17,"1,272",18
인천(ICN),린이(LYI),13,987,37
인천(ICN),다카(DAC),12,924,44
인천(ICN),뱅갈로(BLR),12,878,107
인천(ICN),양저우타이저우(YTY),8,759,10
인천(ICN),제주(CJU),15,755,3
인천(ICN),시하누크빌(KOS),6,580,14
인천(ICN),창저우(CZX),5,561,15
인천(ICN),마나스(FRU),6,441,326
인천(ICN),푸조우(FOC),2,407,11
인천(ICN),퀴논(UIH),4,397,7
인천(ICN),퉁치(TXN),10,313,5
인천(ICN),마 탈라 라자 팍사(HRI),1,280,15
인천(ICN),베이루트(BEY),2,263,13
인천(ICN),레오시야나체크오스트라바공항(OSR),2,249,7
인천(ICN),팍세(PKZ),2,209,3
인천(ICN),브라티슬로바(BTS),6,182,256
인천(ICN),이슬라마바드(ISB),1,132,2
인천(ICN),듀산베(DYU),1,126,6
인천(ICN),풀코보(LED),8,118,63
인천(ICN),쿠웨이트(KWI),1,107,3
인천(ICN),히로시마(HIJ),1,66,1
인천(ICN),제다(JED),3,40,58
인천(ICN),캘커타(CCU),46,18,556
인천(ICN),쉬저우(XUZ),1,14,0
인천(ICN),베오그라드(BEG),3,12,47
인천(ICN),알 막툼(DWC),2,11,93
인천(ICN),리야드(RUH),2,1,31
인천(ICN),과달라하라(GDL),153,0,"3,011"
인천(ICN),뉴왁(EWR),13,0,17
인천(ICN),더블린(DUB),12,0,153
인천(ICN),도모데도보(DME),10,0,"3,462"
인천(ICN),라이프치히(LEJ),325,0,"1,381"
인천(ICN),루이즈빌(SDF),291,0,0
인천(ICN),룩셈부르크(LUX),154,0,"11,113"
인천(ICN),리에쥬 비어셋(LGG),22,0,"1,176"
인천(ICN),리켄백(LCK),132,0,"4,637"
인천(ICN),마이애미(MIA),81,0,"20,483"
인천(ICN),말모(MMX),1,0,41
인천(ICN),멤피스(MEM),367,0,0
인천(ICN),몬트리올(YUL),2,0,30
인천(ICN),무함마드 5세(CMN),1,0,13
인천(ICN),보리스필(KBP),2,0,11
인천(ICN),볼티모어(BWI),2,0,1
인천(ICN),브라코프스(VCP),111,0,"3,029"
인천(ICN),브뤼셀(BRU),155,0,67
인천(ICN),사르고사(ZAZ),11,0,669
인천(ICN),샤자르(SHJ),1,0,0
인천(ICN),스텐스테드(STN),2,0,"5,458"
인천(ICN),스톡홀름 알란다(ARN),58,0,56
인천(ICN),신시내티(CVG),659,0,"4,662"
인천(ICN),아쉬가바트(ASB),1,0,12
인천(ICN),아테네(ATH),1,0,49
인천(ICN),앵커리지(ANC),"2,603",0,"29,955"
인천(ICN),에버레트(PAE),4,0,7
인천(ICN),오슬로(OSL),139,0,232
